
=== 0x1809E99E0 (sub_1809E99E0) ===
  180bc3d56    m_EconGloves                               off=?          back=[] fwd=[]
  180bc3d92    m_nEconGlovesChanged                       off=?          back=[] fwd=[]
  180bc3dce    m_nRagdollDamageBone                       off=?          back=[] fwd=[]
  180bc3e03    m_vRagdollDamageForce                      off=?          back=[] fwd=[]
  180bc3e3f    m_vRagdollDamagePosition                   off=?          back=[] fwd=[]
  180bc3e74    m_szRagdollDamageWeaponName                off=?          back=[] fwd=[]
  180bc3ea9    m_bRagdollDamageHeadshot                   off=?          back=[] fwd=[]
  180bc3ede    m_vRagdollServerOrigin                     off=?          back=[] fwd=[]
  180bc3f13    m_qDeathEyeAngles                          off=?          back=[] fwd=[]
  180bc3f4f    m_bLeftHanded                              off=?          back=[] fwd=[]
  180bc3f84    m_fSwitchedHandednessTime                  off=?          back=[] fwd=[]
  180bc3fb9    m_flViewmodelOffsetX                       off=?          back=[] fwd=[]
  180bc3ff5    m_flViewmodelOffsetY                       off=?          back=[] fwd=[]
  180bc402a    m_flViewmodelOffsetZ                       off=?          back=[] fwd=[]
  180bc405f    m_flViewmodelFOV                           off=?          back=[] fwd=[]
  180bc4094    m_vecPlayerPatchEconIndices                off=?          back=[] fwd=[]
  180bc40d0    m_GunGameImmunityColor                     off=?          back=[] fwd=[]
  180bc410c    m_bIsWalking                               off=?          back=[] fwd=[]
  180bc417d    m_bIsScoped                                off=?          back=[] fwd=[]
  180bc41b2    m_bResumeZoom                              off=?          back=[] fwd=[]
  180bc41e7    m_bIsDefusing                              off=?          back=[] fwd=[]
  180bc421c    m_bIsGrabbingHostage                       off=?          back=[] fwd=[]
  180bc4251    m_iBlockingUseActionInProgress             off=?          back=[] fwd=[]
  180bc428d    m_flEmitSoundTime                          off=?          back=[] fwd=[]
  180bc42c2    m_bInNoDefuseArea                          off=?          back=[] fwd=[]
  180bc42f7    m_nWhichBombZone                           off=?          back=[] fwd=[]
  180bc432c    m_iShotsFired                              off=?          back=[] fwd=[]
  180bc4361    m_flFlinchStack                            off=?          back=[] fwd=[]
  180bc4396    m_flVelocityModifier                       off=?          back=[] fwd=[]
  180bc43cb    m_bWaitForNoAttack                         off=?          back=[] fwd=[]
  180bc4400    m_bKilledByHeadshot                        off=?          back=[] fwd=[]
  180bc4435    m_ArmorValue                               off=?          back=[] fwd=[]
  180bc4471    m_unCurrentEquipmentValue                  off=?          back=[] fwd=[]
  180bc44ad    m_unRoundStartEquipmentValue               off=?          back=[] fwd=[]
  180bc44e2    m_unFreezetimeEndEquipmentValue            off=?          back=[] fwd=[]
  180bc4517    m_nLastKillerIndex                         off=?          back=[] fwd=[]
  180bc4553    m_fImmuneToGunGameDamageTime               off=?          back=[] fwd=[]
  180bc4588    m_bGunGameImmunity                         off=?          back=[] fwd=[]
  180bc45bd    m_fMolotovDamageTime                       off=?          back=[] fwd=[]
